DISA,Altitude,Mach,FRAC,power_kW,FuelFlow_kgph,JetThrust_N
0,0.0,0.35,0.5,436.41705716,227.4922114210288,37.98610402818
0,0.0,0.35,0.6,523.674287722,244.6155141274608,66.25540953108
0,0.0,0.35,0.7,610.975274914,263.3098384272884,99.19290840942
0,0.0,0.35,0.8,698.2589138760001,282.413323401887,135.3165427236
0,0.0,0.35,0.9,785.5268898219999,301.3201513768485,173.25700356636
0,0.0,0.35,1.0,872.815720198,320.0039109144516,213.00027459648
0,0.0,0.4,0.0,8.464240582,122.0375296555384,0.0
0,0.0,0.4,0.5,436.413870248,226.4505792930237,0.0
0,0.0,0.4,0.6,523.6933659260001,243.7683822568266,2.7093440787
0,0.0,0.4,0.7,610.9607047879999,262.3736447970607,32.46937265376
0,0.0,0.4,0.8,698.261236174,281.5818108365237,65.65760434884
0,0.0,0.4,0.9,785.5466513619999,300.5701912717046,100.68007290558
0,0.0,0.4,1.0,872.826010522,319.1313365026763,137.38189130358
0,0.0,0.45,0.0,13.436941556,122.6920602312438,0.0
0,0.0,0.45,0.5,436.387916908,225.2663879047446,0.0
0,0.0,0.45,0.6,523.683530662,242.7232810954368,-61.19143133292
0,0.0,0.45,0.7,610.943311052,261.298760475279,-34.57602740466
0,0.0,0.45,0.8,698.239244094,280.556126437449,-4.33195242564
0,0.0,0.45,0.9,785.5244317519999,299.5576994919713,27.78121566696
0,0.0,0.45,1.0,872.799510364,318.2209274046085,61.54278288606
0,0.0,0.5,0.0,18.770059748,123.4533855728023,0.0
0,0.0,0.5,0.5,436.406357282,223.9101834551393,0.0
0,0.0,0.5,0.6,523.699558472,241.4052252527443,-125.50498376766
0,0.0,0.5,0.7,610.9663505159999,260.0893553196045,-102.04618354266
0,0.0,0.5,0.8,698.256910866,279.3165390538873,-74.79601417218
0,0.0,0.5,0.9,785.520060192,298.4528041717319,-45.37033605342
0,0.0,0.5,1.0,872.813807454,317.1235993958995,-14.44673764254
0,0.0,0.55,0.0,24.801349642,124.3386950564275,0.0
0,0.0,0.55,0.5,436.3989353280001,222.3182737427198,0.0
0,0.0,0.55,0.6,523.677111332,239.8613018861472,-190.3947586212
