DISA,Altitude,Mach,FRAC,power_kW,FuelFlow_kgph,JetThrust_N
0,761.9999756160008,0.3,0.9,864.0932024053999,289.8480210141522,288.706202417556
0,761.9999756160008,0.3,1.0,960.0922832754001,309.0885395911277,339.43295110355405
0,761.9999756160008,0.35,0.0,8.9397222574,114.1125909588134,0.0
0,761.9999756160008,0.35,0.5,480.0509499434,215.217066029121,54.327689978100004
0,761.9999756160008,0.35,0.6,576.067510414,232.8354786305906,88.86337247218201
0,761.9999756160008,0.35,0.7,672.077911461,251.5416818551211,127.62357042388801
0,761.9999756160008,0.35,0.8,768.0754898124002,270.4369738320784,169.28755882962002
0,761.9999756160008,0.35,0.9,864.1086288648002,289.133925521183,213.10192176134402
0,761.9999756160008,0.35,1.0,960.1078098480002,308.3390360977956,260.67487979841
0,761.9999756160008,0.4,0.0,13.149709623600002,114.5810517534247,0.0
0,761.9999756160008,0.4,0.5,480.0581121401999,214.4311271588497,0.0
0,761.9999756160008,0.4,0.6,576.0653071030001,232.0483402186338,22.984736961186
0,761.9999756160008,0.4,0.7,672.0812668944001,250.817335052708,58.440663650292
0,761.9999756160008,0.4,0.8,768.0894638098,269.7289321883335,96.82636284644401
0,761.9999756160008,0.4,0.9,864.1109322890001,288.3799962617255,137.34331945349402
0,761.9999756160008,0.4,1.0,960.1226348076,307.5250848414225,181.63312949027403
0,761.9999756160008,0.45,0.0,18.0431706268,115.2294573682301,0.0
0,761.9999756160008,0.45,0.5,480.04448853900004,213.3774448767123,0.0
0,761.9999756160008,0.45,0.6,576.05393769,231.1760516570806,-43.182837572952
0,761.9999756160008,0.45,0.7,672.0690456986,249.8516441123106,-11.161953586938
0,761.9999756160008,0.45,0.8,768.0913667812,268.8152963979861,24.062634969450002
0,761.9999756160008,0.45,0.9,864.0990122534001,287.587888921437,61.435019418696
0,761.9999756160008,0.45,1.0,960.1070089424001,306.5971429726027,102.55841475818401
0,761.9999756160008,0.5,0.0,23.4562880684,116.0067659945568,0.0
0,761.9999756160008,0.5,0.5,480.0504994339999,212.1271921453325,0.0
0,761.9999756160008,0.5,0.6,576.0772271386,230.175395292933,-109.74156188457
0,761.9999756160008,0.5,0.7,672.0842719315999,248.773019409961,-81.17491600541402
0,761.9999756160008,0.5,0.8,768.0962747898001,267.8293601506849,-48.994479705864
0,761.9999756160008,0.5,0.9,864.1375779916001,286.5845345241767,-14.728927381476002
0,761.9999756160008,0.5,1.0,960.1227357414001,305.5959588849678,23.180654362866004
0,761.9999756160008,0.55,0.0,30.430507564600003,116.7224465293477,0.0
0,761.9999756160008,0.55,0.5,480.05074971700003,210.725043003538,0.0
0,761.9999756160008,0.55,0.6,576.0501309266,228.828370799238,-176.83386264020402
0,761.9999756160008,0.55,0.7,672.0581776722,247.5252939501044,-151.707113361804
0,761.9999756160008,0.55,0.8,768.0802476512,266.5840618445977,-122.707271795262
0,761.9999756160008,0.55,0.9,864.0890953024,285.4296402105597,-91.32292364302802
